periodo,fecha,saldo_inicial,interes,cuota_original,cuota_pagada,amortizacion,abono_adhoc,saldo_final,recalculado
1,2025-11-07,100000000.0,1250000.0,2378993.01,2378993.01,1128993.01,0.0,98871006.99,False
2,2025-12-07,98871006.99,1235887.59,2378993.01,2378993.01,1143105.42,0.0,97727901.57,False
3,2026-01-06,97727901.57,1221598.77,2378993.01,2378993.01,1157394.24,0.0,96570507.33,False
4,2026-02-05,96570507.33,1207131.34,2378993.01,2378993.01,1171861.67,0.0,95398645.66,False
5,2026-03-07,95398645.66,1192483.07,2378993.01,2378993.01,1186509.94,0.0,94212135.72,False
6,2026-04-06,94212135.72,1177651.7,2378993.01,2378993.01,1201341.31,0.0,93010794.41,False
7,2026-05-06,93010794.41,1162634.93,2378993.01,2378993.01,1216358.08,0.0,91794436.33,False
8,2026-06-05,91794436.33,1147430.45,2378993.01,2378993.01,1231562.56,0.0,90562873.77,False
9,2026-07-05,90562873.77,1132035.92,2378993.01,2378993.01,1246957.09,0.0,89315916.68,False
10,2026-08-04,89315916.68,1116448.96,2378993.01,2378993.01,1262544.05,0.0,88053372.63,False
11,2026-09-03,88053372.63,1100667.16,2378993.01,2378993.01,1278325.85,0.0,86775046.78,False
12,2026-10-03,86775046.78,1084688.08,2378993.01,2378993.01,1294304.93,2000000.0,83480741.85,False
13,2026-11-02,85480741.85,1068509.27,2378993.01,2378993.01,1310483.74,0.0,84170258.11,False
13,2026-11-02,83480741.85,1043509.27,2378993.01,2378993.01,1335483.74,0.0,82145258.11,True
14,2026-12-02,82145258.11,1026815.73,2378993.01,2378993.01,1352177.28,0.0,80793080.83,True
15,2027-01-01,80793080.83,1009913.51,2378993.01,2378993.01,1369079.5,0.0,79424001.33,True
16,2027-01-31,79424001.33,992800.02,2378993.01,2378993.01,1386192.99,0.0,78037808.34,True
17,2027-03-02,78037808.34,975472.6,2378993.01,2378993.01,1403520.41,0.0,76634287.93,True
18,2027-04-01,76634287.93,957928.6,2378993.01,2378993.01,1421064.41,0.0,75213223.52,True
19,2027-05-01,75213223.52,940165.29,2378993.01,2378993.01,1438827.72,0.0,73774395.8,True
20,2027-05-31,73774395.8,922179.95,2378993.01,2378993.01,1456813.06,0.0,72317582.74,True
21,2027-06-30,72317582.74,903969.78,2378993.01,2378993.01,1475023.23,0.0,70842559.51,True
22,2027-07-30,70842559.51,885531.99,2378993.01,2378993.01,1493461.02,0.0,69349098.49,True
23,2027-08-29,69349098.49,866863.73,2378993.01,2378993.01,1512129.28,0.0,67836969.21,True
24,2027-09-28,67836969.21,847962.12,2378993.01,2378993.01,1531030.89,0.0,66305938.32,True
25,2027-10-28,66305938.32,828824.23,2378993.01,2378993.01,1550168.78,0.0,64755769.54,True
26,2027-11-27,64755769.54,809447.12,2378993.01,2378993.01,1569545.89,0.0,63186223.65,True
27,2027-12-27,63186223.65,789827.8,2378993.01,2378993.01,1589165.21,0.0,61597058.44,True
28,2028-01-26,61597058.44,769963.23,2378993.01,2378993.01,1609029.78,0.0,59988028.66,True
29,2028-02-25,59988028.66,749850.36,2378993.01,2378993.01,1629142.65,0.0,58358886.01,True
30,2028-03-26,58358886.01,729486.08,2378993.01,2378993.01,1649506.93,0.0,56709379.08,True
31,2028-04-25,56709379.08,708867.24,2378993.01,2378993.01,1670125.77,0.0,55039253.31,True
32,2028-05-25,55039253.31,687990.67,2378993.01,2378993.01,1691002.34,0.0,53348250.97,True
33,2028-06-24,53348250.97,666853.14,2378993.01,2378993.01,1712139.87,0.0,51636111.1,True
34,2028-07-24,51636111.1,645451.39,2378993.01,2378993.01,1733541.62,0.0,49902569.48,True
35,2028-08-23,49902569.48,623782.12,2378993.01,2378993.01,1755210.89,0.0,48147358.59,True
36,2028-09-22,48147358.59,601841.98,2378993.01,2378993.01,1777151.03,0.0,46370207.56,True
37,2028-10-22,46370207.56,579627.59,2378993.01,2378993.01,1799365.42,0.0,44570842.14,True
38,2028-11-21,44570842.14,557135.53,2378993.01,2378993.01,1821857.48,0.0,42748984.66,True
39,2028-12-21,42748984.66,534362.31,2378993.01,2378993.01,1844630.7,0.0,40904353.96,True
40,2029-01-20,40904353.96,511304.42,2378993.01,2378993.01,1867688.59,0.0,39036665.37,True
41,2029-02-19,39036665.37,487958.32,2378993.01,2378993.01,1891034.69,0.0,37145630.68,True
42,2029-03-21,37145630.68,464320.38,2378993.01,2378993.01,1914672.63,0.0,35230958.05,True
43,2029-04-20,35230958.05,440386.98,2378993.01,2378993.01,1938606.03,0.0,33292352.02,True
44,2029-05-20,33292352.02,416154.4,2378993.01,2378993.01,1962838.61,0.0,31329513.41,True
45,2029-06-19,31329513.41,391618.92,2378993.01,2378993.01,1987374.09,0.0,29342139.32,True
46,2029-07-19,29342139.32,366776.74,2378993.01,2378993.01,2012216.27,0.0,27329923.05,True
47,2029-08-18,27329923.05,341624.04,2378993.01,2378993.01,2037368.97,0.0,25292554.08,True
48,2029-09-17,25292554.08,316156.93,2378993.01,2378993.01,2062836.08,0.0,23229718.0,True
49,2029-10-17,23229718.0,290371.47,2378993.01,2378993.01,2088621.54,0.0,21141096.46,True
50,2029-11-16,21141096.46,264263.71,2378993.01,2378993.01,2114729.3,0.0,19026367.16,True
51,2029-12-16,19026367.16,237829.59,2378993.01,2378993.01,2141163.42,0.0,16885203.74,True
52,2030-01-15,16885203.74,211065.05,2378993.01,2378993.01,2167927.96,0.0,14717275.78,True
53,2030-02-14,14717275.78,183965.95,2378993.01,2378993.01,2195027.06,0.0,12522248.72,True
54,2030-03-16,12522248.72,156528.11,2378993.01,2378993.01,2222464.9,0.0,10299783.82,True
55,2030-04-15,10299783.82,128747.3,2378993.01,2378993.01,2250245.71,0.0,8049538.11,True
56,2030-05-15,8049538.11,100619.23,2378993.01,2378993.01,2278373.78,0.0,5771164.33,True
57,2030-06-14,5771164.33,72139.55,2378993.01,2378993.01,2306853.46,0.0,3464310.87,True
58,2030-07-14,3464310.87,43303.89,2378993.01,2378993.01,2335689.12,0.0,1128621.75,True
59,2030-08-13,1128621.75,14107.77,2378993.01,1142729.52,1128621.75,0.0,0.0,True
